№ п.п. / Название,Предусловие,Шаги,Тестовые данные,Ожидаемый результат
1. Авторизация на сайте по e-mail,Адрес сайта: ,"1.на главной странице сайта слева кликнуть на ""гамбургер""",,появится выпадающее меню
Результат,https://ivanovskij-trikotazh.ru/,"2. кликнуть на пункт меню ""Войти""",,"появится окно с заголовком ""Войти или зарегистрироваться"""
Пользователь успешно авторизован на сайте,пользователь предварительно зарегистрирован,3.выбрать вкладку Еmail,,станут видны поля для ввода адреса почты и пароля
,,"4. ввести почту и пароль,нажать ""Войти""","тестовая почта: eurosett017@gmail.com
пароль: xyZ1234$",откроется Личный кабинет
Метки,,,,
позитивный,,,,
Комментарий,,,,
,,,,
№ п.п. / Название,Предусловие,Шаги,Тестовые данные,Ожидаемый результат
2. Добавление товара в корзину,Адрес сайта: ,1. кликнуть по изображению выбранного товара,,откроется страница товара
Результат,https://ivanovskij-trikotazh.ru/,"2. указать количество товара и нажать кнопку ""Добавить в корзину""",,на значке корзины в правом верхнем углу отобразится количество товаров в корзине
Добавленный пользователем товар наодится в корзине,,3. кликнуть по значку корзины в правом вернем углу,,откроется страница корзины с добавленными позициями
Метки,,,,
позитивный,,,,
Комментарий,,,,
,,,,
№ п.п. / Название,Предусловие,Шаги,Тестовые данные,Ожидаемый результат
3. Поиск товара по наименованию,Адрес сайта: ,1. в правом верхнем углу нажать на значок-лупу,,появится строка для ввода текста
Результат,https://ivanovskij-trikotazh.ru/,"2. ввести текст для поиска, наать Enter или значок поиска справа",,на экране появится результат поиска
Выведены позиции товаров соответствующие критерию поиска,,,,
Метки,,,,
позитивный,,,,
Комментарий,,,,
,,,,
№ п.п. / Название,Предусловие,Шаги,Тестовые данные,Ожидаемый результат
4. Удаление товара из корзины,Адрес сайта: ,1. нажать на значок корзины в правом верхнем углу,,откроется страница корзины с добавленными позициями
Результат,https://ivanovskij-trikotazh.ru/,2. в корзине у выбранного товара справа нажать значок-контейнер,,товар удален из корзины
Товар удален и больше не находится в корзине,"если корзина пуста, необходимо предварительно добавить товар в корзину",,,
Метки,,,,
позитивный,,,,
Комментарий,,,,
